证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
430213.OC,2012,2013-05-17,太平洋证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2013,5,乐升股份,32570707.46,18614658.54,20224358.28,,,,,6173835.99,86616.56,6087219.43,1987497.73,,,18.5347,,,,,,2013-05-13,2012-12-31,挂牌前,0
430214.OC,2012,2013-05-17,上海证券有限责任公司,上海张江高新技术产业开发区,橡胶和塑料制品业,,2013,5,建中医疗,92761670.78,54277404.57,100173390.24,,,,,8693146.13,338834.16,8354311.97,10652920.35,,,10.0679,,,,,,2013-05-15,2012-12-31,挂牌前,0
430215.OC,2012,2013-05-16,中泰证券股份有限公司,中关村科技园区,批发业,,2013,5,必可测,61629718.22,35754101.41,47164390.99,,,,,3695330.57,319633.27,3375697.3,-31614347.54,,,8.2338,,,,,,2013-05-13,2012-12-31,挂牌前,0
430217.OC,2012,2013-05-17,西部证券股份有限公司,上海张江高新技术产业开发区,互联网和相关服务业,,2013,5,申石软件,14046959.73,9817859.06,15471230.08,,,,,3546019,441974.5,3104044.5,-726279.78,,,33.2998,,,,,,2013-05-15,2012-12-31,挂牌前,0
430218.OC,2012,2013-05-16,中泰证券股份有限公司,天津滨海高新技术产业开发区,软件和信息技术服务业,,2013,5,长虹立川,15103903.77,11207003.15,11714223.18,,,,,1249913.41,412212.5,837700.91,1058107.8,,,9.1783,,,,,,2013-05-13,2012-12-31,挂牌前,0
430219.OC,2012,2013-05-17,西部证券股份有限公司,中关村科技园区,仪器仪表制造业,,2013,5,拓川股份,36560725.83,8282784.85,37992402.09,32461176.71,709101.44,3097581.19,99327.37,1586046.24,11968.69,1574077.55,-649884.78,11946632.76,412873.79,5.2517,58010.31,,-10602423.29,6255618.09,2168117.77,2013-05-15,2012-12-31,挂牌前,0
430699.OC,2013,2014-05-05,方正证券股份有限公司,非高新产业区,批发业,,2014,5,海欣医药,142168723.8,34597127.12,383306508.02,363715299.9,10112508.54,5859229.54,745917.85,1836070.88,-32767.33,1868838.21,2252532.87,93652492.91,848109.61,1.3255,226616.83,44983.51,-6195412.34,1727156.92,3473803.12,2014-05-20,2013-12-31,挂牌前,0
430702.OC,2013,2014-05-06,招商证券股份有限公司,中关村科技园区,新闻和出版业,,2014,5,昊福文化,45269095.8,32262486.87,30227472.14,14245583.8,5644900.34,8936088.71,364520.92,731436.97,125936.64,605500.33,-4388493.47,19276226.71,382316.48,1.7974,134284.42,509739.6,-4511008.29,-5630432.4,3838028.81,2014-05-21,2013-12-31,挂牌前,0
430709.OC,2014,2014-04-24,太平洋证券股份有限公司,非高新产业区,专用设备制造业,,2014,4,武汉深蓝,160558427.81,92183138.24,83973815.28,54011341.65,9682378.72,20415420.18,1285018.64,-6630252.62,2969536.06,-9599788.68,-3795196.5,56298111.49,36234103.44,-4.1584,3555276.2,,-4767920.67,4288522.71,-9067613.44,2015-05-01,2014-12-31,挂牌后,0
430720.OC,2013,2014-05-07,中泰证券股份有限公司,中关村科技园区,批发业,,2014,5,东方炫辰,10905019.64,6388585.92,20445207.42,15183336.39,1110994.12,2619053.86,-3378.48,1008879.2,0,1008879.2,-2316461.37,2993730.24,60366.29,6.9231,17824.72,,83180.25,-2836896.72,-571602.85,2014-05-07,2013-12-31,挂牌前,0
