主办券商,主营产品,可交易股份总量(万股),总市值(万元),所属Wind行业,所属园区,所属证监会行业,挂牌日期,摘牌日期,最新成交价(元),最新成交日,终止上市原因,股份总量(万股),证券代码,证券简称,转让方式
兴业证券股份有限公司,铝合金及制品,1404.875,,材料Ⅱ,非高新产业区,金属制品业,2016-04-15,,,,,2775.5,835907.OC,海德曼,协议转让
国联证券股份有限公司,合成纤维,,,材料Ⅱ,非高新产业区,化学原料和化学制品制造业,2016-04-15,,,,,2000.0,836032.OC,建亚环保,协议转让
东吴证券股份有限公司,医疗器械用制剂,,,医疗保健设备与服务,非高新产业区,卫生,2016-04-15,,,,,1000.0,836219.OC,鼎晶生物,协议转让
中泰证券股份有限公司,半金属,4009.25,,材料Ⅱ,非高新产业区,废弃资源综合利用业,2016-04-15,,,,,7328.0,836222.OC,顺泰钨业,协议转让
兴业证券股份有限公司,半导体材料、磁性材料,25.0,,材料Ⅱ,厦门火炬高新区,化学原料和化学制品制造业,2016-04-15,,,,,575.0,836404.OC,豪尔新材,协议转让
兴业证券股份有限公司,中药饮片,,,制药、生物科技与生命科学,非高新产业区,医药制造业,2016-04-15,,,,,5550.0,836433.OC,大唐药业,协议转让
国金证券股份有限公司,医疗美容器械,,,医疗保健设备与服务,非高新产业区,专用设备制造业,2016-04-15,,,,,5000.0,836516.OC,冰科医疗,协议转让
首创证券有限责任公司,广告代理,216.754,,软件与服务,非高新产业区,互联网和相关服务,2016-04-15,,,,,1229.98,836610.OC,铠甲网络,协议转让
新时代证券股份有限公司,种子,400.0,,食品、饮料与烟草,非高新产业区,农业,2016-04-15,,,,,10457.0,836645.OC,三瑞农科,协议转让
安信证券股份有限公司,高分子聚合物、专业咨询服务,,,资本货物,非高新产业区,专用设备制造业,2016-04-15,,,,,2000.0,836674.OC,净源科技,协议转让
国金证券股份有限公司,钢管类、建筑钢结构,,,商业和专业服务,非高新产业区,租赁业,2016-04-15,,,,,5080.0,836684.OC,扬德股份,协议转让
