,证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,
13732,430001.OC,2005,2006-01-18,申银万国证券股份有限公司,中关村科技园区非上市股份有限公司,软件与服务,2010-12-06,2006,1,世纪瑞尔(退市),148364866.4,73732860.86,58557780.55,28279932.56,5954026.68,10286909.54,251551.36,13628733.91,-414751.22,14043485.13,61584513.07,45852038.98,27570547.89,10.4753,1585821.1,831417.32,-376475.47,43182842.25,1961442.87,2006-03-14,,,1
13733,430002.OC,2005,2006-01-23,申万宏源证券有限公司,中关村科技园区,软件和信息技术服务业,,2006,1,中科软,259821764.78,95532331.58,322238311.82,270574556.27,12650270.65,32885251.27,1677901,7507711.18,-25866.96,7533578.14,11916307.16,27005263.13,86576467.93,2.7734,4175972.15,1337.28,-2747395.43,5290093.91,-4978172.95,2006-03-22,,,1
13734,430003.OC,2005,2006-03-31,国泰君安证券股份有限公司,中关村科技园区,通用设备制造业,,2006,3,北京时代,162712125.29,52446897.62,152851954.84,111211558.82,19047872.34,9936508.4,1566122.13,9555541.27,10000,9545541.27,24951456.57,32502516.95,50649952.61,6.8033,2034501.34,672.43,10316899.05,2440580.47,2973355.67,2006-04-11,,,1
13735,430004.OC,2005,2006-06-07,广发证券股份有限公司,中关村科技园区,专用设备制造业,,2006,6,绿创环保,117856113.02,108143337.39,37693046.22,30359086.72,1484027.59,4748024.62,320651.9,518149.92,258100,260049.92,,34137800.1,39775334.49,0.4096,,,,,,,,,1
13736,430005.OC,2005,2006-07-28,广发证券股份有限公司,中关村科技园区,医药制造业,,2006,7,原子高科,181638562.84,108620776.41,169065387.91,110611168.69,14897402.57,19116961.3,197565.93,15397202.65,-188986.14,15586188.79,,54520462.3,49388683.49,11.2293,,,,,,,,,1
13737,430006.OC,2005,2006-08-23,广发证券股份有限公,中关村科技园区非上市股份有限公司,制药、生物科技与生命科学,2009-09-30,2006,8,北陆药业(退市),107455654.94,64069969.47,83940018.91,48168263.3,18504637.8,5902230.27,864769.27,9140065.72,1616261.37,7523804.35,,31706013.42,45931676.46,7.9415,,,,,,,,,1
13738,430007.OC,2005,2006-09-06,申银万国证券股份有限公司,中关村科技园区非上市股份有限公司,软件与服务,2009-07-29,2006,9,久其软件(退市),104828362.91,82853203.46,49756051.05,10778019.1,1335641.16,28554280.29,-213861.35,14214173.77,836585.53,13385525.78,27816695.27,5866007.28,20157828.29,14.7551,,,,,,,,,1
13739,430008.OC,2005,2006-08-25,国信证券有限责任公,中关村科技园区非上市股份有限公司,软件与服务,2011-09-28,2006,8,紫光华宇(退市),156022492.37,54512587.98,100117879.28,62413196.47,5382081.33,20805903.57,-269049.2,12507434.47,75451.33,12431983.14,,16433599.97,40834192.77,10.4563,,,,,,,,,1
13740,430009.OC,2005,2006-11-28,广发证券股份有限公司,中关村科技园区,计算机、通信和其他电子设备制造业,,2006,11,华环电子,97668268.71,66281999.58,44442970.53,22153242.61,7763639.25,10891856.65,351186.72,1845311.11,350269.24,1495041.87,,17380705.29,29583907.29,1.8089,,,,,,,,,1
13741,430010.OC,2005,2006-12-08,申万宏源证券有限公司,中关村科技园区,专用设备制造业,,2006,12,现代农装,289875615.13,114168653.4,364607599.23,289606254.84,28430277.26,34191070.87,507555,4494596.14,1099000,3395596.14,,30810838.81,73575379.83,3.5309,,,,,,,,,1
20608,430011.OC,2006,2007-01-23,中信证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2007,1,指南针,55671355.11,44151637.2,26566225.67,5489804.02,3346426.79,7938915.41,-82804.36,9151580.8,564724.66,8586856.14,11989174.21,,14965613.87,17.378,2154912.12,25851.04,,16792796.5,-15867559.42,2007-04-12,,,1
20609,430012.OC,2006,2007-02-12,国信证券有限责任公,中关村科技园区非上市股份有限公司,制药、生物科技与生命科学,2012-05-10,2007,2,博晖创新(退市),80533796.83,76954506.9,29366271.18,6192074.46,4701139.58,5138832.29,548227.9,12954761.54,118404.37,12836357.17,9401346.6,13335020.49,25124703.38,16.5391,757643.14,332128.32,-2225666.07,-4318845.65,1105347.76,2007-03-06,,,1
20610,430013.OC,2006,2007-03-15,广发证券股份有限公司,中关村科技园区非上市股份有限公司,食品、饮料与烟草,2014-05-19,2007,3,ST羊业(退市),107328991.15,76788938.5,17519249.99,15227312.17,133137.48,2955217.17,634423.16,2763353.27,871356.81,1891996.46,796345.83,14791126.64,54697956.92,2.6636,1169853.93,,10337486.24,-5871678.48,-8131502.25,2007-04-25,,,1
20611,430014.OC,2006,2007-06-15,安信证券股份有限公司,中关村科技园区,专用设备制造业,,2007,6,恒业世纪,46746516.42,31450149.53,34032465.91,23393426.12,4909060,2505936.42,281114.02,2080654.39,0,2080654.39,,14748234.49,11000537.34,4.422,,,,,,,,,1
20612,430015.OC,2006,2007-06-18,申万宏源证券有限公司,中关村科技园区,软件和信息技术服务业,,2007,6,盖特佳,41875326.05,34274282.13,17102898.69,9860944.64,277222.36,3463564.96,17641.53,4003602.84,396802.84,3606800,,10089690.2,786071.53,10.7778,,,,,,,,,1
20613,430016.OC,2006,2007-07-26,东海证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2007,7,胜龙科技,34241985.37,26658572.91,19019140.46,10876256.54,419555.59,6528384.64,244284.02,1585395.99,-359200,1944595.99,-2802710.93,3864880.82,10646708.34,4.8465,349116.68,,221259.53,-6874042.34,-1300509.33,,,,1
20614,430017.OC,2006,2007-08-16,海通证券股份有限公司,中关村科技园区,医药制造业,,2007,8,星昊医药,122560377.25,57691960.49,74011694.48,48784222.09,6502758.78,11405829.43,1024801.19,5055453.37,,,,8963963.83,49942054.54,5.6664,,,,,,,,,1
20615,430018.OC,2006,2007-09-13,申银万国证券股份有限公司,中关村科技园区非上市股份有限公司,资本货物,2015-06-01,2007,9,合纵科技(退市),132164694.91,77047867.17,79657287.1,57845639.22,2973807.69,6255874.39,773483.19,8178465.38,-86300,8264765.38,4876817.85,34241463.12,21735643.32,6.5176,1278611.96,,-5105758.3,401875.12,-3214890.71,,,,1
20616,430019.OC,2006,2007-09-28,申万宏源证券有限公司,中关村科技园区,计算机、通信和其他电子设备制造业,,2007,9,新松佳和,32186745.15,25737635.11,40166238.36,24951347.38,956561.56,4163855.25,166229.49,9356929.26,102214.52,9254714.74,-836092.63,10457602.37,6230986.34,36.9166,187733.44,,-406507.14,-9770609.56,-615554.07,,,,1
20617,430020.OC,2006,2007-09-28,申万宏源证券有限公司,中关村科技园区,非金属矿物制品业,,2007,9,建工华创,32024655.09,19853965.07,17970096.92,7468938.11,1379969.21,4415123.33,55379.45,4783634.27,-2111.83,4785746.1,2305536.81,6063745.49,3463149.57,19.3799,365287.73,17625.96,-5481575.36,-3804909.16,5621425.11,,,,1
20618,430021.OC,2006,2007-09-28,广发证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2007,9,海鑫科金,83050176.74,61941619.63,48790413.36,17882367.75,6941184.67,15284094.15,128913.52,9514459.32,3375800,6138659.32,783077.1,25572510.93,7440930.14,13.0816,2120004.93,546326.92,-2742586.04,-18516569.24,8398029.81,,,,1
20619,430022.OC,2006,2007-10-18,国信证券股份有限公司,中关村科技园区,计算机、通信和其他电子设备制造业,,2007,10,五岳鑫,37067398.89,32951479.62,28347681.48,12764836.57,2200322.32,5025854.79,-95227.21,7105474.08,53693.85,7051780.23,10356012.78,1307480.38,8774493.48,21.2799,811469.64,0,404562.35,574752.57,1416967.55,,,,1
20620,430023.OC,2006,2007-10-23,申银万国证券股份有限公司,中关村科技园区非上市股份有限公司,技术硬件与设备,2011-04-20,2007,10,佳讯飞鸿(退市),140747134.04,67153685.09,116277381.43,66894279.94,10728126.11,29452035.57,515236.6,17244256.23,1025920.23,16218336,39924930.48,61583866.48,5290592.26,12.5136,798020.89,200642.41,2672523.91,26977688.41,-4343104.61,,,,1
20621,430024.OC,2006,2007-12-27,中国中投证券有限责任公司,中关村科技园区,软件和信息技术服务业,,2007,12,金和网络,15071200.9,7246868.13,11217668.71,435605.81,2646077.66,6429768.51,405501.75,2129419.68,9522.78,2119896.9,-739364.63,2402330.7,7744201.68,15.6994,,,,,,,,,1
27488,430025.OC,2007,2008-01-16,广发证券股份有限公司,中关村科技园区,非金属矿物制品业,,2008,1,石晶光电,131021621.14,80633413.31,57716037.98,37456789.65,2238999.87,11076346.94,213317.04,5153098.58,1244858.63,3908239.95,6759368.67,20093434.29,44847274.83,5.1806,6659748.31,53433.55,-2469474.27,-29959190.11,25292595.91,,,,1
27489,430026.OC,2007,2008-02-13,申银万国证券股份有限公司,中关村科技园区非上市股份有限公司,制药、生物科技与生命科学,2014-06-30,2008,2,金豪制药(退市),64210807.75,43358260.5,29702935.6,15839149.15,8528155.35,2820842.67,1276858.32,1463794.63,861255.19,602539.44,3135259.43,16327363.05,17960763.73,2.4115,1528215.38,,847435.47,-5083385.36,917094.78,2008-04-29,,,1
27490,430027.OC,2007,2008-02-18,上海证券有限责任公司,中关村科技园区,软件和信息技术服务业,,2008,2,北科光大,32519481.98,31831855.59,13163315.31,2033780.65,635586.3,5887171.2,-7574.93,4038701.82,125620.67,3913081.15,3210028.11,3219545.75,416251.64,14.0225,123157.8,,82328.07,-3432377.09,406687.55,,,,1
27491,430028.OC,2007,2008-04-30,申万宏源证券有限公司,中关村科技园区,建筑安装业,,2008,4,京鹏科技,86936669.99,41123517.54,73286482.18,58986580.55,2950041.37,8512979.79,-123202.81,2997458.33,0,3168883.08,7852874.03,13155437.8,16537310.82,4.634,412313.52,,7994471.94,-5097541.23,2232486.37,,,,1
27492,430029.OC,2007,2008-06-20,上海证券有限责任公司,中关村科技园区,农副食品加工业,,2008,6,金泰得,22871075.56,21555411.55,43115684,37342252.87,3402577.76,1033944.99,-18874.62,1230849.27,,,-8066752.19,4686471.4,1297887.24,7.6825,239273.94,,-1095216.23,-2913585.65,-5528073.52,,,,1
27493,430030.OC,2007,2008-08-13,上海证券有限责任公司,中关村科技园区非上市股份有限公司,技术硬件与设备,2014-01-09,2008,8,安控科技(退市),73000572.06,49998057.67,43302917.78,26508399.76,3247667.04,7440470.6,363480.7,6139961,-300626.79,6440587.79,-9834201.33,28178633.2,6611145.97,7.9917,727302.67,77811.04,1354138.02,-2630841.14,-11175293.11,,,,1
27494,430031.OC,2007,2008-09-01,申万宏源证券有限公司,中关村科技园区,软件和信息技术服务业,,2008,9,林克曼,23412158.46,21416094.56,14880448.76,5099194.56,385549.02,3374286.45,-93383.91,7074009.1,-17451.61,7072130.1,5260816.45,1787687.5,3790254.4,34.8522,374738.52,,-1490732.5,233720.36,-955095.22,,,,1
27495,430032.OC,2007,2008-10-28,中泰证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2008,10,凯英信业,36132731.3,10056499.1,67016513.3,56676213.22,1533354.91,3906205.24,190643.97,4547350.55,546317.8,4001032.75,3200646.96,9531803.7,663520.71,15.2262,99435.81,,-1384678.17,-7506454.05,6987669.65,,,,1
27496,430033.OC,2007,2008-10-28,上海证券有限责任公司,中关村科技园区,计算机、通信和其他电子设备制造业,,2008,10,彩讯科技,46036898.2,25892804.66,61194115.93,31476031.75,9991061.48,9384199.1,96673.58,7407177.31,323278.3,7083899.01,7548754.35,5378009.54,15592314.77,18.2495,2758307.31,,-4983187.18,1830038.65,832186.41,,,,1
27497,430034.OC,2007,2008-10-28,南京证券股份有限公司,中关村科技园区,农副食品加工业,,2008,10,大地股份,113791526.11,51570038.96,213147614.68,175184135.15,15660762.29,13021333.98,695497.67,4078799.66,151289.67,3436548.31,-9742975.57,6279853.14,33853448.71,4.1235,4881778.4,280681.91,-5536422.45,8506526.5,-23377633.6,,,,1
27498,430035.OC,2007,2008-10-28,国信证券股份有限公司,中关村科技园区,房地产业,,2008,10,中兴通融,170381312.82,115819425.08,26607386.85,9519524.51,7411282.74,15550219.95,-75969.58,22463891.55,,,59175357.55,1560521.7,25057381.59,16.9254,1962636.64,,1057619.02,2920580.16,48894566.16,,,,1
27499,430036.OC,2007,2008-10-28,国泰君安证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2008,10,鼎普科技,36627871.57,31373415.05,17387908.56,5351015.05,2004895.67,8084568.15,-81400.33,3589906.2,,,1000133.87,2427102,1313044.52,12.1467,,,,,,,,,1
27500,430037.OC,2007,2008-12-05,申万宏源证券有限公司,中关村科技园区,石油加工、炼焦和核燃料加工业,,2008,12,联飞翔,31677035.36,25056267.16,9297167.6,2529144.73,1476348.14,2045681.91,63419.98,2930086.93,36526.45,2893560.48,183838.65,800019.78,4185133.87,12.4651,259037.3,270944.16,-53446.23,-1081202.79,-2424728.47,,,,1
27501,430038.OC,2007,2008-12-16,西部证券股份有限公司,中关村科技园区,仪器仪表制造业,,2008,12,信维科技,24133299.1,20788405.71,24521829.12,10056301.03,1838450.22,6394800.92,1591.44,6291483.06,565500,5725983.06,1544440.61,8578065.72,904956.89,30.7738,337390.27,503459.96,-1785676.9,-5605062.9,1597285.49,,,,1
27502,430039.OC,2007,2008-12-10,招商证券股份有限公司,中关村科技园区,铁路、船舶、航空航天和其他运输设备制造业,,2008,12,华高世纪,22486749.4,18825760.45,15972861.27,4860465.17,611665.69,2721345.16,-36342.16,6143998.81,-223.55,6144222.36,2922196.27,4094033.38,420302.37,33.3691,45307.8,54732.94,-464113.55,-3606447.91,-984696.44,,,,1
27503,430040.OC,2007,2008-12-22,西部证券股份有限公司,中关村科技园区非上市股份有限公司,技术硬件与设备,2015-04-22,2008,12,康斯特(退市),45485728.95,34410536.13,35511014.52,11681107.34,6482167.52,7683219.43,328379.44,6933825.91,-44621.75,6978447.66,8918513.56,5707846.51,17138326.8,17.0204,579330.26,,-708155.8,-3084811.41,2309872.23,,,,1
27504,430041.OC,2007,2008-12-25,国信证券股份有限公司,中关村科技园区,电气机械和器材制造业,,2008,12,中机非晶,45239534.57,33770776.88,93769177.75,77184726.96,1606829.77,1788386.34,-41751.9,13562039.28,48000,13514039.28,2334836.54,4442742.25,9520631.96,40.7668,574445.11,103453.98,-3372202.55,-8888206.4,755010.6,,,,1
34371,430042.OC,2008,2009-01-15,西部证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2009,1,科瑞讯,43762383.07,25509423.95,21097917.16,13503190,2760362.61,2973158.33,691904.35,2159870.95,-32994.17,2007940.3,5451183.78,10304760.54,704814.05,4.5031,214116.85,10000,1174368.48,3845210.5,-3567064.78,,,,1
34372,430043.OC,2008,2009-01-14,国信证券股份有限公司,中关村科技园区非上市股份有限公司,技术硬件与设备,2014-11-26,2009,1,世纪东方(退市),128127182.37,93972292.58,34739330.1,14596050.68,7422579.77,21469455.58,3798592.84,-12903457.38,-285476.06,-12617981.32,-11524800.95,17176647,36477477.85,-9.1118,3114969.3,0,-4320622.45,16446590.54,-19913405.5,2009-04-24,,,1
34373,430044.OC,2008,2009-01-12,申万宏源证券有限公司,中关村科技园区,电气机械和器材制造业,,2009,1,东宝亿通,30961968.28,30746696.48,12548084,861650,,3070669.19,-151430.51,8393946.89,97098.29,8296848.6,1449687.97,,3500856.92,41.7873,91117.97,,571640,1116542.43,-7115083.67,,,,1
34374,430045.OC,2008,2009-02-10,申银万国证券股份有限公司,中关村科技园区非上市股份有限公司,技术硬件与设备,2012-08-29,2009,2,东土科技(退市),46543515.12,31497042.69,42376144.29,14637430.78,8429337.41,9909785.22,62194.39,6799780.81,-378481.25,7178262.06,9927188.92,10867210.48,2286692.54,19.5688,,,,,,2009-04-29,,,1
34375,430046.OC,2008,2009-02-18,西部证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2009,2,圣博润,17276302.96,12368499.42,24804248.34,13622377.46,6203447.96,5501520.62,78628.71,1420167.37,590000,830167.37,1801359.26,5866061.94,817903.97,8.1506,96185.45,,-43267.47,1767603.55,-1990478.75,,,,1
34376,430047.OC,2008,2009-02-18,中泰证券股份有限公司,中关村科技园区,科技推广和应用服务业,,2009,2,诺思兰德,11414291.92,9975057.44,2196806.82,909739.48,,1784894.95,41019.54,-163942.18,420000,-583942.18,-695383.36,1546122,432643.71,-1.4512,131455.25,,-409437.43,18417.38,-629708.8,,,,1
34377,430048.OC,2008,2009-02-18,东海证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2009,2,建设数字,51970046.73,44803340.04,21228802.02,11921544.24,1279692.19,3588891,-79908.54,4211260.38,-35835,4247095.38,-10535222.83,3060278.16,14094454.88,7.7524,2457641.83,,-3340814.28,-4124958.82,-9653413.05,,,,1
34378,430049.OC,2008,2009-02-13,东北证券股份有限公司,中关村科技园区非上市股份有限公司,资本货物,2015-04-20,2009,2,双杰电气(退市),111656035.04,66630114.35,112652370.39,66741129.6,6840150.5,17793690.6,1096277.74,18557596.27,392291.9,18165304.37,11091005.92,35656230.31,26455465.38,13.9576,1736162.21,,-5877346.7,-891904.13,-4803863.07,2009-04-20,,,1
34379,430050.OC,2008,2009-02-16,国海证券股份有限公司,中关村科技园区非上市股份有限公司,商业和专业服务,2015-03-27,2009,2,博朗环境(退市),86675468.03,77086078.73,62842713.85,44700801.91,1148388.18,6079997.57,1618927.41,4577042.73,-10000,4590000,-7309298.87,59631335.84,440688.42,5.0084,193880.93,0,1141091.69,-10884484.51,-5488172.03,2009-04-23,,,1
34380,430051.OC,2008,2009-02-18,国信证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2009,2,九恒星,24357556.36,22803851.07,21357814.2,6006471.83,6104215.92,8667948.95,-61146.01,2594958.26,-50000,2644958.26,-4486149.3,7890400.51,615657.81,10.2978,160443.23,15129.6,706332.66,-3283925.96,-4805823.61,,,,1
34381,430052.OC,2008,2009-03-19,东吴证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2009,3,斯福泰克,15117369.57,14246769.96,15708937.92,2965458.73,6020206.28,6084688.74,-22655.59,6497.72,192875.66,-186377.94,-345445.2,7376837,1380814.75,0.0401,381623.59,,,953145.85,-2182712.32,,,,1
34382,430053.OC,2008,2009-03-31,西部证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2009,3,国学时代,6013621.02,5228358.54,4039827.3,1672467.9,419670.56,1098715.53,-5428.18,494188.78,-33532.5,527721.28,471429.28,469771.22,720863.21,13.9624,143370.15,,-14431,-407642.12,252266.38,,,,1
34383,430054.OC,2008,2009-04-16,申万宏源证券有限公司,中关村科技园区,有色金属矿采选业,,2009,4,超毅网络,51259673.42,34248483.78,28268069.33,18734084,166552.92,6969534.37,361631.16,1683455.56,0,1683455.56,501218.42,9407871.35,2444927.36,3.6908,,,,,,,,,1
34384,430055.OC,2008,2009-04-28,东吴证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2009,4,达通通信,15143183.55,11971235.27,4657942.73,755274.9,522683.24,2444557.29,103564.42,663350.69,-162338.6,825689.29,-809231.77,2192832.6,664808.76,5.6059,355017.49,,-1910705,-511170.02,-118091.54,,,,1
34385,430056.OC,2008,2009-07-01,中信建投证券股份有限公司,中关村科技园区,化学原料和化学制品制造业,,2009,7,中航新材,69407567.61,36432492.32,124859806.12,101504066.65,5533636.53,6807371.24,1060667.87,7972220.72,1321353.46,6650867.26,12571574.03,21531645.05,2871789.25,13.1493,,,,,,,,,1
34386,430057.OC,2008,2009-07-14,南京证券股份有限公司,中关村科技园区,电气机械和器材制造业,,2009,7,清畅电力,49795994.79,26753182.97,32874006.44,20595241.13,1103828.08,4841136.29,321580.87,6194994.38,251114.74,5943879.64,3165241.11,17273431.45,12128884.82,14.6634,590502.8,,75515.47,-4631428.7,473464.42,,,,1
34387,430058.OC,2008,2009-08-05,东吴证券股份有限公司,中关村科技园区,计算机、通信和其他电子设备制造业,,2009,8,意诚信通,50804818.03,27235582.77,88767490.29,74763497.96,7157279.96,3355403.27,388230.78,2895203.1,-5182.69,2886281.3,8812916.86,9349123.68,12583488.58,6.3625,1819190.97,81690.54,-1622458.01,-570630.81,4967025.61,,,,1
34388,430059.OC,2008,2009-08-18,国泰君安证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2009,8,中海纪元,33094145.18,19406179.88,34267631.69,22549111.6,1005742.64,6997842.31,-150813.04,2707037.13,90932.43,2616104.7,7812241.32,1952512.85,943251.32,8.6824,278486.05,,1138900.94,3206949.74,816846.88,,,,1
34389,430060.OC,2008,2009-08-26,山西证券股份有限公司,中关村科技园区,专用设备制造业,,2009,8,永邦科技,14482191.35,11121988.8,24904650.79,14563200.09,2520958.42,4835808.28,10037.54,2578302.89,,,-173858.68,6208487.27,554297.08,13.9591,140259.32,,-1085858.07,1267437.67,-3442218.79,,,,1
34390,430061.OC,2008,2009-11-09,西部证券股份有限公司,中关村科技园区,电气机械和器材制造业,,2009,11,富机达能,28789625.52,20217577.89,13235237.07,8988023.59,553843.16,1413432.09,-12266.44,1723068.79,-1700,1641912.21,330132.2,13444479.23,3338108.25,6.5876,312848.34,,-2816502.94,-3448245.42,4047243.21,,,,1
41263,430068.OC,2009,2010-06-08,中原证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2010,6,纬纶环保,78152327.85,39209827.42,36538819.5,18072113.42,3230036.88,9539127.42,735268.63,4013991.07,412628.45,3601362.62,534279.78,21601945.57,14814201.02,5.3569,1232650.28,50384.05,-7820861.64,-1654259.07,2137176.92,,,,1
41264,430069.OC,2009,2010-06-23,申万宏源证券有限公司,中关村科技园区,专用设备制造业,,2010,6,天助畅运,25007946.85,17963905,16060645.18,1401693.24,2033701.26,5567175.63,-50498.38,6017980.44,37886.46,5983422.4,6666346.5,999595.7,9239833.08,28.7756,455421.97,,-587092.3,397347.86,326680.8,,,,1
41265,430070.OC,2009,2010-07-21,金元证券股份有限公司,中关村科技园区,金属制品业,,2010,7,赛亿智能,13580880.06,10201622.79,8141189.77,5008380.13,661510.96,1877904.74,37682.78,1644710.32,961290.21,683420.11,179837.28,2788301.62,3113459.46,13.5478,300899.84,,-742309.29,-120265.51,-1282534.36,,,,1
41266,430071.OC,2009,2010-08-02,中信证券股份有限公司,中关村科技园区,电信、广播电视和卫星传输服务,,2010,8,首都在线,13699037.51,8089353.04,21605848.35,10517489.72,166659.8,7573440.89,-13168.1,2637215.91,218004.64,2419211.27,5119796.65,3419387.58,778584.2,21.4343,268000.82,173647.84,,1845035.46,124401.86,,,,1
41267,430072.OC,2009,2010-08-31,申万宏源证券有限公司,中关村科技园区,软件和信息技术服务业,,2010,8,亿创科技,23559577.68,18011841.09,6510643.74,2811278.09,578649.01,1040832.5,-17238.82,1700647.21,,,3515969.48,948780,2278232.12,7.2185,168255.84,,-186039.48,-501890.21,1601135.03,,,,1
41268,430073.OC,2009,2010-09-10,申万宏源证券有限公司,中关村科技园区,软件和信息技术服务业,,2010,9,兆信股份,25916290.61,21120578.79,40324751.11,21771352.08,2565996.36,10078428.84,-10876.76,4944583.8,-10351.43,4954935.23,1407742.33,4172470.24,1295698.63,20.2934,775548.79,86639,-1506966.57,-6402860.48,259052.28,,,,1
41269,430074.OC,2009,2010-10-08,国信证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2010,10,德鑫物联,16743112.08,11768037.85,17617313.1,9470584.37,1352513.59,1811729.24,73155.66,4703649.04,97670.2,4605978.84,2841791.04,6207799.33,2065591.97,28.5358,381816.18,179824.15,4753551.99,-4804065.28,-2623446.87,,,,1
41270,430075.OC,2009,2010-11-18,申万宏源证券有限公司,中关村科技园区,计算机、通信和其他电子设备制造业,,2010,11,中讯四方,20548690.96,7091014.52,10459387.32,6301180.76,485119.79,1723121.48,791.52,1571772.39,-102979.09,1674751.48,353893.36,5754088.17,2074104.85,9.6955,159312.45,10664.35,-4106917.83,-4021755.23,6106809.53,,,,1
41271,430076.OC,2009,2010-12-08,光大证券股份有限公司,中关村科技园区,互联网和相关服务,,2010,12,国基科技,88303969.14,60417852.52,80707615.79,52795387.63,5338889.66,10809971.71,34669.43,9526038.64,215604.75,9310433.89,14610423.43,25349044.25,1715879.63,12.7336,,,,,,,,,1
41272,430077.OC,2009,2010-12-29,华泰证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2010,12,道隆软件,20564233.72,15881675.43,18026347.35,10636686.52,1120700.31,3156629.88,-7688.99,3165590.31,983856.81,2181733.5,5026592.09,1351767.27,155450.47,18.8838,65223.33,,889445.61,-3991738.97,4173892.92,,,,1
48148,430087.OC,2010,2011-05-31,招商证券股份有限公司,中关村科技园区,专用设备制造业,,2011,5,富电绿能,9563930.74,7586986.5,10773432.58,8159876.83,1028889.4,1307138.46,65372.17,358887.8,225671,133216.8,-1006299.13,1665019.33,130328.81,4.3052,5076.77,8000,473927.53,-1227506.51,-903359.35,,,,1
48149,430088.OC,2010,2011-05-31,东北证券股份有限公司,中关村科技园区,仪器仪表制造业,,2011,5,七维航测,33763733.7,25762421.48,38458801.88,23587959.8,941461.71,4901821.19,185533.13,7495224.04,37463.93,7457760.11,2483407.03,5362153.19,2988854.1,28.588,244901.44,81861,-6300860.9,-1050440.75,1653113.22,,,,1
48150,430089.OC,2010,2011-05-31,长城证券股份有限公司,中关村科技园区,计算机、通信和其他电子设备制造业,,2011,5,天一众合,55887040.39,43255653.7,38494876.24,19309631.6,5484886.55,10853833.46,84235.9,2425402.78,176600,2215000,-14553350.79,21096611.82,1385046.04,6.0369,193320.14,,-10042259.99,-15779756.23,7850850.93,,,,1
48151,430090.OC,2010,2011-06-17,东方花旗证券有限公司,中关村科技园区,软件和信息技术服务业,,2011,6,同辉信息,24506667.36,15162456.48,45835741.27,33973764.53,3536528.4,4442277.91,271418.14,2404262.89,-412.5,2404675.39,-4797636.1,3796347.03,80363.22,11.6905,44055.72,,-6743374.59,-1571622.54,716445.42,,,,1
48152,430091.OC,2010,2011-06-23,国信证券股份有限公司,中关村科技园区,专用设备制造业,,2011,6,东方生态,22911306.2,18202385.67,36215529.4,24451827.34,1519081.85,4662610.32,32575.21,5058413.3,528654.41,4529758.89,2374738.41,1199650.35,1401815.12,28.5538,,,,,,,,,1
