证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
430013.OC,2007,2007-03-15, 广发证券股份有限公司,中关村科技园区非上市股份有限公司,食品、饮料与烟草,2014-05-19,2007,3,ST羊业(退市),,,,,,,,,,,,,,,,,,,,,,挂牌后,1
430013.OC,2008,2007-03-15, 广发证券股份有限公司,中关村科技园区非上市股份有限公司,食品、饮料与烟草,2014-05-19,2007,3,ST羊业(退市),,,,,,,,,,,,,,,,,,,,,,挂牌后,2
430013.OC,2009,2007-03-15, 广发证券股份有限公司,中关村科技园区非上市股份有限公司,食品、饮料与烟草,2014-05-19,2007,3,ST羊业(退市),,,,,,,,,,,,,,,,,,,,,,挂牌后,3
430013.OC,2010,2007-03-15, 广发证券股份有限公司,中关村科技园区非上市股份有限公司,食品、饮料与烟草,2014-05-19,2007,3,ST羊业(退市),,,,,,,,,,,,,,,,,,,,,,挂牌后,4
430013.OC,2011,2007-03-15, 广发证券股份有限公司,中关村科技园区非上市股份有限公司,食品、饮料与烟草,2014-05-19,2007,3,ST羊业(退市),,,,,,,,,,,,,,,,,,,,,,挂牌后,5
430013.OC,2012,2007-03-15, 广发证券股份有限公司,中关村科技园区非上市股份有限公司,食品、饮料与烟草,2014-05-19,2007,3,ST羊业(退市),,,,,,,,,,,,,,,,,,,,,,挂牌后,6
430013.OC,2013,2007-03-15, 广发证券股份有限公司,中关村科技园区非上市股份有限公司,食品、饮料与烟草,2014-05-19,2007,3,ST羊业(退市),,,,,,,,,,,,,,,,,,,,,,挂牌后,7
430013.OC,2014,2007-03-15, 广发证券股份有限公司,中关村科技园区非上市股份有限公司,食品、饮料与烟草,2014-05-19,2007,3,ST羊业(退市),,,,,,,,,,,,,,,,,,,,,,挂牌后,8
430013.OC,2015,2007-03-15, 广发证券股份有限公司,中关村科技园区非上市股份有限公司,食品、饮料与烟草,2014-05-19,2007,3,ST羊业(退市),,,,,,,,,,,,,,,,,,,,,,挂牌后,9
430016.OC,2015,2007-07-26,东海证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2007,7,胜龙科技,,,,,,,,,,,,,,,,,,,,2016-05-10,2015-12-31,挂牌后,8
