证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
430418.OC,2008,2014-01-24,东吴证券股份有限公司,苏州高新区,通用设备制造业,,2014,1,苏轴股份,79271746.54,25982855.39,87394213.88,59947494.4,2989065.04,15864623.15,1845494.06,5383898.13,,,7536141.38,19429466.13,28937109.82,6.7917,2519490.06,,-4390323.98,2642455.54,-355963.1,,,挂牌前,-5
430489.OC,2008,2014-02-17,国元证券股份有限公司,非高新产业区,化学原料和化学制品制造业,,2014,2,佳先股份,33613271.38,15586685.92,32708279,27623439.35,1032957.24,1749409.11,268098.06,3942266.86,,,7867878.27,1244911.78,4951551.82,11.7283,537827.45,38750.64,-2785703.61,-1060695.45,6885766.11,,,挂牌前,-5
430680.OC,2007,2014-04-10,首创证券有限责任公司,非高新产业区,非金属矿物制品业,,2014,4,联兴科技,104512341.56,50503145.38,8353691.77,6470978.43,,1131763.01,-12.93,503145.38,,,11946538.19,,16164849.29,,154851.73,,-8184927.04,-1461163.68,20973496.18,,,挂牌前,-6
430680.OC,2008,2014-04-10,首创证券有限责任公司,非高新产业区,非金属矿物制品业,,2014,4,联兴科技,295266301.9,103305693.44,201066482.3,172778829.25,2558209.82,3873585.81,281201.37,15884744.06,,,73032127.79,1337995.39,169211668.51,7.9468,5979301.19,,-14309938.7,-24299918,88378145.64,,,挂牌前,-5
430707.OC,2008,2014-04-25,国金证券股份有限公司,非高新产业区,非金属矿物制品业,,2014,4,欧神诺,860062903.79,234035583.09,599781829.09,423840120.47,41838815.43,70399255.4,21625519.3,31445217.11,,,19675088.07,117830490.77,280057831.66,3.6562,23041997.9,,-99269895.1,-43089961.61,85638367.39,,,挂牌前,-5
430714.OC,2008,2014-04-30,恒泰证券股份有限公司,非高新产业区,电气机械和器材制造业,,2014,4,奇才股份,,,168000000,,,,,,,,,,,,,,,,,,,挂牌前,-5
430742.OC,2009,2014-05-06,申万宏源证券有限公司,非高新产业区,专业技术服务业,,2014,5,光维通信,114590123.49,62263465.88,209472373.64,158663031.84,2419068.11,20271758.05,-191092.55,21647055.72,724070.19,20922985.53,7082973.44,33873728.4,23805011.83,18.8909,1433400,,-13641000,-6927800,4472000,,,挂牌前,-5
830849.OC,2007,2014-07-11,中信建投证券股份有限公司,非高新产业区,专用设备制造业,,2014,7,平原非标,116537035.15,34505260.97,101864055.48,73256980.75,5640,7077923.47,573816.54,12565883.03,,,13968790.52,29174566.5,4303653.84,10.7827,1593528.52,,-4777203.4,63993348.49,-61467894.11,,,挂牌前,-7
830849.OC,2008,2014-07-11,中信建投证券股份有限公司,非高新产业区,专用设备制造业,,2014,7,平原非标,160200869.74,48815099.22,163896153.46,130461147.21,343239.91,9880512.63,2436928.26,13612569.4,,,-11200799.97,35433952.91,33383172.97,9.8379,1259779.46,,-7057216.88,-2264196.75,-18433198.94,,,挂牌前,-6
830849.OC,2009,2014-07-11,中信建投证券股份有限公司,非高新产业区,专用设备制造业,,2014,7,平原非标,174305900.97,69170286.48,183452800.06,134848904.37,490952.73,15311123.28,4287361.5,20355187.26,,,1754264.31,56251609.18,37777872.48,12.1703,2403451.42,,260029.68,-6198821.91,-26623116.99,,,挂牌前,-5
