证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
430059.OC,2006,2009-08-18,国泰君安证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2009,8,中海纪元,29775732.41,16655240.2,,,,,,,,,,8924411.42,1277921.1,,,,,,,,,挂牌前,-3
430060.OC,2006,2009-08-26,山西证券股份有限公司,中关村科技园区,专用设备制造业,,2009,8,永邦科技,15131591.88,5186528.83,21374264.47,15730224.96,1635727.48,1997291.66,-3508.18,1548842.58,,,-1817363.74,9767881.97,326519.25,10.0472,84693,,-902493.74,7767146.3,-10392485.18,,,挂牌前,-3
430061.OC,2006,2009-11-09,西部证券股份有限公司,中关村科技园区,电气机械和器材制造业,,2009,11,富机达能,10125177.69,,7059924.91,6068106.28,193833.7,486471.16,-2477.37,238103.74,,,-3156414.53,3737842.35,288258.05,,86642.49,,472366.85,-7319730.9,878606.04,,,挂牌前,-3
430062.OC,2006,2010-01-12,光大证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2010,1,中科国信,15380605.68,12315172,5429167.63,1091452.01,329962.46,2000636.43,-6335.68,2429347.33,,,,3032618.71,721744.75,,,,,,,,,挂牌前,-3
430065.OC,2006,2010-03-19,华泰证券股份有限公司,中关村科技园区,电气机械和器材制造业,,2010,3,中海阳,13578522.77,10205232.19,,,,,,,,,,63160,353780.58,,,,,,,,,挂牌前,-3
430066.OC,2006,2010-04-22,申万宏源证券有限公司,中关村科技园区,软件和信息技术服务业,,2010,4,南北天地,14862499.26,12537383.54,15391282.3,2594940.79,7845527.46,5045764.75,-43852.74,985972.46,,,,2109271.93,2251337.63,,,,,,,,,挂牌前,-3
430067.OC,2006,2010-04-29,中国银河证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2010,4,维信通,5098805.46,4654705.23,,,,,,,,,,1165242.9,238738.96,,,,,,,,,挂牌前,-3
430068.OC,2007,2010-06-08,中原证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2010,6,纬纶环保,50625963.98,31839067.1,18833535.86,8199945.02,1090675.65,4760071.12,223137.5,3293555.96,-40000,3333555.96,-1745398.84,6516629.74,1604097.27,6.5057,414250.63,,-921392.17,545106.33,-7385150.62,,,挂牌前,-3
430069.OC,2007,2010-06-23,申万宏源证券有限公司,中关村科技园区,专用设备制造业,,2010,6,天助畅运,8094575.84,5190740.18,8590044.72,1182686.77,1999938.49,2011135.1,1169.71,3077564.14,27836.4,3049727.74,3220359.63,149671.96,537324.99,,66226.25,78412.06,-949344.99,226710.51,415910.6,,,挂牌前,-3
430075.OC,2007,2010-11-18,申万宏源证券有限公司,中关村科技园区,计算机、通信和其他电子设备制造业,,2010,11,中讯四方,5632277.18,4753321.19,,,,,,,,,,970676.5,1066758.52,,,,,,,,,挂牌前,-3
