证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
430132.OC,2008,2012-07-18,国泰君安证券股份有限公司,中关村科技园区,电气机械和器材制造业,,2012,7,国铁科林,1579685.25,654963.06,,,,,,,,,,188100.0,544.29,,,,,,,,,挂牌前,-4
430228.OC,2009,2013-07-01,中原证券股份有限公司,天津滨海高新技术产业开发区,软件和信息技术服务业,,2013,7,天房科技,28897454.41,20424286.54,,,,,,,,,,3795722.35,9557338.15,,,,,,,,,挂牌前,-4
430418.OC,2009,2014-01-24,东吴证券股份有限公司,苏州高新区,通用设备制造业,,2014,1,苏轴股份,87955567.0,29550951.36,90487714.21,63327280.3,2753513.34,15763572.01,1099907.03,6879494.77,,,10739328.74,26480147.84,29260571.45,8.2277,2480419.28,,4662146.76,-10852899.77,6091013.88,,,挂牌前,-4
430489.OC,2009,2014-02-17,国元证券股份有限公司,非高新产业区,化学原料和化学制品制造业,,2014,2,佳先股份,45853863.02,30529557.49,39492200.85,31829316.45,1236948.7,1759216.09,358222.11,5287871.57,,,1235945.31,2261230.18,18488801.24,13.3083,1429655.55,62880.3,1925801.65,-2133326.67,-5780809.65,,,挂牌前,-4
430618.OC,2009,2014-01-24,华融证券股份有限公司,非高新产业区,软件和信息技术服务业,,2014,1,凯立德,137431092.0,64555384.83,82192537.05,9127353.96,11828992.6,43570840.59,-1369553.03,20721103.56,12210209.85,8510893.71,52722363.3,2221577.45,8908755.28,18.7021,,,,,,,,挂牌前,-4
430665.OC,2009,2014-03-13,万联证券有限责任公司,非高新产业区,仪器仪表制造业,,2014,3,高衡力,2000000.0,2000000.0,,,,,,,,,,,,,,,,,,,,挂牌前,-4
430680.OC,2009,2014-04-10,首创证券有限责任公司,非高新产业区,非金属矿物制品业,,2014,4,联兴科技,256131919.94,115390677.85,168008157.75,133890376.33,9179248.86,4693493.86,5334403.13,12084984.41,,,-6508015.29,3254421.16,163764892.39,4.3834,10583071.21,,-596061.64,-23312628.03,-15696805.68,,,挂牌前,-4
430702.OC,2010,2014-05-06,招商证券股份有限公司,中关村科技园区,新闻和出版业,,2014,5,昊福文化,1527225.77,1305550.72,2298733.28,811915.16,,1043500.93,2074.76,393001.63,,,446659.89,204231.42,93071.88,25.733,,,,,,,,挂牌前,-4
430707.OC,2009,2014-04-25,国金证券股份有限公司,非高新产业区,非金属矿物制品业,,2014,4,欧神诺,862700509.44,260472336.81,600649082.04,438080216.45,52987649.55,59236241.0,16722790.18,26436753.72,,,149481872.17,120421369.22,272796229.47,3.0691,29192924.0,1575465.23,8976667.28,-5574470.65,65953832.07,,,挂牌前,-4
430714.OC,2009,2014-04-30,恒泰证券股份有限公司,非高新产业区,电气机械和器材制造业,,2014,4,奇才股份,,,184000000.0,,,,,,,,,,,,,,,,,,,挂牌前,-4
